============================================================
ADAPTIVE WALL + AGGRESSION BACKTEST
============================================================

Regime Detection: 300 bar lookback
Choppy Mode: PT/SL = 10/5 ticks
Trend Mode:  PT/SL = 20/8 ticks
Trend filters: Only trade WITH the trend

============================================================
Backtesting 2025-10-10...
============================================================
  Processing 58354 bars...

  [choppy       ] ENTER SHORT: choppy_breakout_ask@25322.25 @ 25316.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25316.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25302.00 @ 25313.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25316.25 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25311.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25313.75 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25303.00 @ 25307.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25305.75 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25325.00 @ 25314.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25315.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25325.00 @ 25316.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25318.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25330.00 @ 25323.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25325.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25330.00 @ 25319.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25321.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25330.00 @ 25322.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25320.00 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25322.50 @ 25311.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25309.00 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25317.75 @ 25311.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25310.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25315.00 @ 25318.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25317.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25325.00 @ 25317.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25318.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25308.00 @ 25318.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25321.25 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25330.00 @ 25320.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25321.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25310.00 @ 25319.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25317.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25307.25 @ 25318.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25317.25 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25321.50 @ 25309.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25311.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25325.00 @ 25313.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25314.25 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25323.00 @ 25311.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25308.50 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25308.00 @ 25306.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25305.25 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25325.00 @ 25319.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25317.25 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25325.00 @ 25317.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25318.75 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25330.00 @ 25319.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25317.00 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25313.25 @ 25315.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25314.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25313.25 @ 25320.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25323.25 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25330.00 @ 25333.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25330.75 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25330.00 @ 25319.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25321.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25330.00 @ 25324.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25325.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25330.00 @ 25329.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25330.25 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25335.00 @ 25330.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25328.00 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25340.00 @ 25333.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25331.00 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25324.75 @ 25328.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25330.75 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25340.00 @ 25332.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25329.75 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25340.00 @ 25330.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25331.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25318.50 @ 25328.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25326.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25318.50 @ 25328.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25331.00 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25330.00 @ 25332.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25333.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25322.00 @ 25334.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25333.25 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25330.00 @ 25331.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25333.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25330.00 @ 25334.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25335.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25330.00 @ 25333.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25335.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25330.00 @ 25335.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25333.00 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25330.00 @ 25335.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25337.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25350.00 @ 25337.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25338.75 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25350.00 @ 25338.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25340.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25350.00 @ 25338.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25339.75 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25350.00 @ 25338.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25339.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25350.00 @ 25340.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25338.25 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25350.00 @ 25341.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25339.00 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25350.00 @ 25339.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25336.50 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25350.00 @ 25337.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25339.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25350.00 @ 25339.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25337.25 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25330.00 @ 25336.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25334.00 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25330.00 @ 25336.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25337.75 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25350.00 @ 25337.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25338.75 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25310.00 @ 25298.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25300.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25315.00 @ 25308.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25309.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25309.00 @ 25316.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25315.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25303.25 @ 25308.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25311.25 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25320.00 @ 25314.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25316.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25306.50 @ 25318.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25317.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25306.50 @ 25319.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25317.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25308.00 @ 25314.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25313.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25315.00 @ 25315.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25316.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25303.50 @ 25305.25 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25304.00 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25314.00 @ 25308.50 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25309.75 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25301.75 @ 25314.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25316.50 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25311.00 @ 25316.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25317.25 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25311.00 @ 25310.00 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25307.50 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25311.00 @ 25304.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: stop_loss @ 25306.00 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25294.50 @ 25305.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25304.50 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25293.00 @ 25305.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25307.50 | P&L: $+20.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25311.00 @ 25305.25 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25302.75 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25289.00 @ 25297.75 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25296.50 | P&L: $-10.00
  [choppy       ] ENTER SHORT: choppy_breakout_ask@25307.25 @ 25296.75 | PT/SL: 10/5
  [choppy       ] EXIT SHORT: profit_target @ 25294.25 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25290.00 @ 25295.00 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25297.50 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25306.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: stop_loss @ 25305.25 | P&L: $-10.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25302.50 | PT/SL: 10/5
  [choppy       ] EXIT LONG: profit_target @ 25305.00 | P&L: $+20.00
  [choppy       ] ENTER LONG: choppy_breakout_bid@25300.00 @ 25303.50 | PT/SL: 10/5
